Home,Away,Winner
Houston Texans,Los Angeles Chargers,Houston Texans
Baltimore Ravens,Pittsburgh Steelers,Baltimore Ravens
Buffalo Bills,Denver Broncos,Buffalo Bills
Philadelphia Eagles,Green Bay Packers,Philadelphia Eagles
Tampa Bay Buccaneers,Washington Commanders,Washington Commanders
Los Angeles Rams,Minnesota Vikings,Los Angeles Rams
Kansas City Chiefs,Houston Texans,Kansas City Chiefs
Detroit Lions,Washington Commanders,Washington Commanders
Buffalo Bills,Baltimore Ravens,Buffalo Bills
Philadelphia Eagles,Los Angeles Rams,Philadelphia Eagles
Kansas City Chiefs,Buffalo Bills,Kansas City Chiefs
Philadelphia Eagles,Washington Commanders,Philadelphia Eagles
Philadelphia Eagles,Kansas City Chiefs,Philadelphia Eagles
